1 | BATHHOUSE |/fabrication/bathhouse| Ben Schumacher MAC Lyon www.mac-lyon.com/ (Name of Exhibition) | 3d modeler, prepared prints | Rhino, Zbrush, Meshlab | null | http://www.contemporaryartdaily.com/2014/08/ben-schumacher-at-musee-dart-contemporain-de-lyon/ http://www.ofluxo.net/rebirth-of-the-bath-house/ http://www.artspy.cn/html/news/10/10219.html
2 | GROUP SHOW |/fabrication/groupshow| Ben Schumacher, Bortolomi Gallery http://bortolamigallery.com/artist/ben-schumacher/ | Image curation | Rhino, psd | null | http://bortolamigallery.com/exhibitions/bloomington-mall-of-america-north-side-food-court-across-from-burger-king-the-bank-of-payphones-that-dont-take-incoming-calls/ http://www.contemporaryartdaily.com/2014/05/group-show-at-bortolami-3/
3 | LECKEY |/fabrication/leckey| Gavin Brown Enterprise https://www.gavinbrown.biz/ | prepared prints, managed printers in exhibition | Formlabs Printer | null | https://www.gavinbrown.biz/artists/mark_leckey/exhibitions/2014 http://www.contemporaryartdaily.com/2014/08/mark-leckey-at-gavin-brown/ http://formlabs.com/blog/formlabs-enters-the-art-world-with-a-month-of-making/
4 | BERGGREN |/fabrication/berggren| Ben Schumacher http://bortolamigallery.com/artist/ben-schumacher/ http://www.croynielsen.de/CN_BSartist.html | 3d modeler, prepared prints, managed production | Maya, Rhino, Meshlab | null | http://www.johanberggren.com/ben-schumacher/
